epoch accuracy precision recall F1-score       0       1       2       3       4       0       1       2       3       4       0       1       2       3       4
   65   94.602    95.093 94.433   94.584  98.630  98.701  96.923  82.418  98.795  92.308  96.203  87.500  96.154 100.000  95.364  97.436  91.971  88.757  99.394
   66   95.116    95.405 94.988   95.088  98.630  98.701  97.015  86.207  96.471  92.308  96.203  90.278  96.154 100.000  95.364  97.436  93.525  90.909  98.204
   67   94.859    95.179 94.707   94.809  98.611  97.468  96.970  85.227  97.619  91.026  97.468  88.889  96.154 100.000  94.667  97.468  92.754  90.361  98.795
   68   94.602    95.162 94.457   94.624  98.630  98.684  98.462  82.418  97.619  92.308  94.937  88.889  96.154 100.000  95.364  96.774  93.431  88.757  98.795
   69   94.602    94.889 94.467   94.579  94.805  98.701  98.462  86.047  96.429  93.590  96.203  88.889  94.872  98.780  94.194  97.436  93.431  90.244  97.590
   70   94.859    95.092 94.744   94.842  96.053  97.436  98.485  87.059  96.429  93.590  96.203  90.278  94.872  98.780  94.805  96.815  94.203  90.798  97.590
   71   95.116    95.457 94.985   95.109  97.297  97.468 100.000  86.047  96.471  92.308  97.468  90.278  94.872 100.000  94.737  97.468  94.891  90.244  98.204
   72   94.859    95.068 94.729   94.834  94.805  98.718  98.485  85.714  97.619  93.590  97.468  90.278  92.308 100.000  94.194  98.089  94.203  88.889  98.795
   73   95.116    95.405 95.010   95.117  97.297  98.701  98.507  86.047  96.471  92.308  96.203  91.667  94.872 100.000  94.737  97.436  94.964  90.244  98.204
   74   95.887    96.096 95.776   95.861  98.649  97.468  98.507  88.235  97.619  93.590  97.468  91.667  96.154 100.000  96.053  97.468  94.964  92.025  98.795
   75   94.859    95.427 94.714   94.887  98.649  98.684 100.000  83.333  96.471  93.590  94.937  88.889  96.154 100.000  96.053  96.774  94.118  89.286  98.204
   76   94.344    94.503 94.268   94.328  97.297  98.667  94.366  85.714  96.471  92.308  93.671  93.056  92.308 100.000  94.737  96.104  93.706  88.889  98.204
   77   94.602    94.821 94.500   94.583  98.630  98.684  94.286  84.884  97.619  92.308  94.937  91.667  93.590 100.000  95.364  96.774  92.958  89.024  98.795
   78   95.116    95.219 94.985   95.052  98.649  98.718  94.203  86.905  97.619  93.590  97.468  90.278  93.590 100.000  96.053  98.089  92.199  90.123  98.795
   79   95.373    95.626 95.245   95.352  96.104  98.701  98.485  86.047  98.795  94.872  96.203  90.278  94.872 100.000  95.484  97.436  94.203  90.244  99.394
   80   95.373    95.536 95.266   95.340  98.649  98.701  95.652  87.059  97.619  93.590  96.203  91.667  94.872 100.000  96.053  97.436  93.617  90.798  98.795
   81   94.602    94.976 94.433   94.565  97.333  98.701  98.438  85.057  95.349  93.590  96.203  87.500  94.872 100.000  95.425  97.436  92.647  89.697  97.619
   82   94.859    94.932 94.771   94.803  98.611  98.718  93.056  87.805  96.471  91.026  97.468  93.056  92.308 100.000  94.667  98.089  93.056  90.000  98.204
   83   94.602    94.978 94.479   94.605  98.630  98.684  97.015  84.091  96.471  92.308  94.937  90.278  94.872 100.000  95.364  96.774  93.525  89.157  98.204
   84   94.602    94.973 94.457   94.588  98.649  98.684  96.970  84.091  96.471  93.590  94.937  88.889  94.872 100.000  96.053  96.774  92.754  89.157  98.204
   85   94.859    95.244 94.711   94.847  98.649  98.701  98.462  85.057  95.349  93.590  96.203  88.889  94.872 100.000  96.053  97.436  93.431  89.697  97.619
